_id,age_certification,description,genres[0],genres[1],genres[2],genres[3],genres[4],genres[5],genres[6],genres[7],genres[8],id,production_countries[0],production_countries[1],production_countries[2],production_countries[3],production_countries[4],production_countries[5],production_countries[6],release_year,runtime,title,type,imdb_score,imdbScore,ageCertification,productionCountries[0],productionCountries[1],releaseYear,__v
66f562d6595d90b3b3fedd4c,,"Vijay and Ravi are best friends (hence the name 'Dostana') who do not even question each other about their careers. Vijay, a police officer and Ravi, a lawyer, while the former catches the criminals who smuggle, Ravi on the other hand bail those criminals, employed by Daaga. One day, both Vijay and Ravi meet Sheetal at different places and times, and both fancy the same girl, Sheetal, but Vijay's love was more serious. Ravi admits his love for Sheetal to Vijay and is devastated but Vijay decides to sacrifice his love and give Sheetal's hand. However, there was a misunderstanding when Daaga decided to stir up Vijay and Ravi's friendship by showing a photo of Vijay and Sheetal to Ravi. They became rivals for the first time and Ravi started to turn to be an enemy of Vijay. Do their friendship recover? Does Ravi get to know the truth? Do Sheetal get back with Vijay?",drama,comedy,romance,action,crime,,,,,tm94651,IN,,,,,,,1980,161,Dostana,MOVIE,2.1,,,,,,
66f562d6595d90b3b3fedd4d,,"A rich landlord floods and destroys a village on purpose to prevent the people living there from making a profit off their crops. What he doesn't know is that his own daughter is in love with Ahmed, a young man from the village.",romance,crime,drama,,,,,,,tm19608,EG,,,,,,,1954,100,The Blazing Sun,MOVIE,7.4,,,,,,
66f562d6595d90b3b3fedd4e,TV-MA,"Monty Python's Fliegender Zirkus consisted of two 45-minute Monty Python German television comedy specials produced by WDR for West German television. The two episodes were first broadcast in January and December 1972 and were shot entirely on film and mostly on location in Bavaria, with the first episode recorded in German and the second recorded in English and then dubbed into German.",comedy,,,,,,,,,ts45948,,,,,,,,1972,43,Monty Python's Fliegender Zirkus,SHOW,8.1,,,,,,
66f562d6595d90b3b3fedd4f,,"In this Andre Gide adaptation, an activist is released after many years in prison and returns home, shaking up established relationships among his family members at the farm governed by his strict father. Demonstrating Chahine’s eclecticism, this is an elegant melodrama, exuberant musical, layered allegory, and profound portrait of personal and political disillusionment.",drama,crime,,,,,,,,tm90896,DZ,EG,,,,,,1976,124,The Return of the Prodigal Son,MOVIE,7.2,,,,,,
66f562d6595d90b3b3fedd50,,"To better himself, a spoiled prince temporarily assumes a commoner's identity. But he soon learns his palace has been gifted to his father's new wife.",romance,,,,,,,,,tm75975,IN,,,,,,,1969,152,Prince,MOVIE,6.9,,,,,,
66f562d6595d90b3b3fedd51,,"Dr. Raafat faces challenges and difficulties in raising his three daughters, Fawzia (Sanaa Younis), Soso (Shreihan) and Nadia (Ijlal Zaki).",comedy,,,,,,,,,tm97793,EG,,,,,,,1980,230,Lock Your Girls In,MOVIE,,,,,,,
66f562d6595d90b3b3fedd52,,"An Egyptian comedy play about an innocent, clueless and naive young man who is asked to stand as a witness on a murder trial of a belly dancer who lived downstairs from his apartment.",comedy,,,,,,,,,tm85426,EG,,,,,,,1976,217,The Witness Who Didn't See Anything,MOVIE,,,,,,,
66f562d6595d90b3b3fedd53,,This play is about a female teacher and how she transformed 5 rebellious students into model students.,comedy,,,,,,,,,tm188894,EG,,,,,,,1973,251,The School of Mischief,MOVIE,,,,,,,
66f562d6595d90b3b3fedd54,,"Havaldar Ratan is a rookie at the local police station, and is assigned duty on foot patrol on Manoranjan Street, a notorious red-light area, on the very first day of his job. He strikes up a conversation with a good-looking young woman named Nisha, and tells her that there is a possible violation of Suppression of Immoral Trafficking Act taking place on this street. He witnesses several women soliciting men, and decides to call in the paddy wagon, and get them arrested. Alas, one of the men frequenting the prostitutes is none other than Ratan's superior officer, who immediately summons Ratan, and has him removed from service on corruption charges. Nisha takes pity on a homeless and unemployed Ratan, and asks him to live with her. He does not want her to sell her body, and so he decides to work at night, and during the day he takes on the guise of a rich Nawab and spends time with her.",comedy,drama,romance,,,,,,,tm107372,IN,,,,,,,1974,162,Manoranjan,MOVIE,6.5,,,,,,
66f562d6595d90b3b3fedd55,,"In the aftermath of the 1967 defeat, four young Lebanese try to figure out their places in a society whose rules seem to have changed. It proved to be an extraordinary anticipation of the civil war that would engulf the country while the film was being edited.",drama,,,,,,,,,tm200475,LB,,,,,,,1975,110,"Beirut, Oh Beirut",MOVIE,6.5,,,,,,
